ItemCode;ItemProviderCode;Description;CreationDate;IsActive;FILTRO PER TIPO;COLLAUDO         MESE     ANNO;;REVISIONE MESE   ANNO;;Intervento Richiesto;Provenienza;Destinazione;prog. Scheda;StateId;DataUltima Movimentazione;OperatoreUltimoMovimento;NOTE O PROBLEMI
93;;MAN UNI 45 MT 20;;;6;;;;;;COLUMBA 21;;;DISPO;21/06/2023;S;
94;;MAN UNI 45 MT 20;;;6;;;;;;COLUMBA 21;;;DISPO;21/06/2023;S;
95;;MAN UNI 45 MT 20;;;6;;;;;;COLUMBA 21;;;DISPO;21/06/2023;S;
96;;MAN UNI 45 MT 20;;;6;;;;;;COLUMBA 21;;;DISPO;21/06/2023;S;
97;;MAN UNI 45 MT 20;;;6;;;;;;COLUMBA 21;;;DISPO;21/06/2023;S;
98;;MAN UNI 45 MT 20;;;6;;;;;;COLUMBA 21;;;DISPO;21/06/2023;S;
99;;MAN UNI 45 MT 20;;;7;;;;;;Magazzino;;;DISPO;21/06/2023;S;
100;;MAN UNI 45 MT 20;;;7;;;;;2;Magazzino;;;DISPO;21/06/2023;S;
101;;RIDUZIONE FISSA M 45 X F 70 ;;;8;;;;;1;CSQ;;;DISPO;19/12/2022;G;ARTICOLO: 4090/C
102;;UNI 45 LANCIA ;;;8;;;;;16;CSQ;Magazzino;;DISPO;21/06/2023;S;
103;;UNI 45 RUBINETTI;;;8;;;;;1;;;;DISPO;19/12/2022;G;
104;;UNI 45 SELLE ;;;8;;;;;9;;;;DISPO;03/04/2023;S;
105;;UNI 45 TAPPI FEMMINA ART. 4084;;;8;;;;;6;CSQ;;;DISPO;19/12/2022;G;
106;;UNI 70 TAPPI ;;;8;;;;;2;;;;DISPO;19/12/2022;G;
107;;SPORTELLI IN ALLUMINIO IDRANTI 57x72;;;9;;;;;1;;;;DISPO;19/12/2022;G;
108;;TELAIO IN ALLUMINIO  54x27,5;;;9;;;;;1;;;;DISPO;19/12/2022;G;
109;;TELAIO NORMO KIT UNI 45;;;9;;;;;4;CSQ;;;DISPO;19/12/2022;G;
110;;TELAIO IN ALLUMINIO PER IDRANTI 53,5x39,5;;;9;;;;;3;;;;DISPO;19/12/2022;G;
111;;TELAIO IN ALLUMINIO PER IDRANTI UNI45 54X33,5;;;9;;;;;5;;;;DISPO;19/12/2022;G;
112;;DPI PER PORTIERE;;;11;;;;;0;SFAP (prev DPI) - AMAZON lista;;;DISPO;04/08/2023;A;
113;;REINTEGRO PRONTO SOCCORSO ALL 2;;;11;;;;;0;Emme PDM090;;;DISPO;09/03/2023;S;
114;;VALIGETTA PRONTO SOCCORSO ALL 2;;;11;;;;;0;Emme CPS153;;;DISPO;29/03/2023;G;
115;;CO2 Kg2;;;6;;;;;;TREVISO 27;;;INDISPONIBILI;14/12/2021;RI;
116;;CO2 Kg2;;;6;;;1;16;;MARVELLI 6 ED 1;;;INDISPONIBILI;06/07/2021;RI;
117; ;CO2 Kg2;;;6;;;5;17;;EDIFICIO 3;;;INDISPONIBILI;12/05/2022;RI;REV CSQ 9/16: DEPRESSURIZZATO alla consegna
118;;CO2 Kg2;;;6;;;5;17;;VIGEVANO 2 BIS;;;INDISPONIBILI;07/09/2022;RI;
119;;CO2 Kg2;;;6;;;;;;AUTORIMESSA PORRO 1 BIS;;;INDISPONIBILI;08/06/2022;RI;
120;;CO2 Kg2;;;6;;;;;;;;;INDISPONIBILI;04/10/2022;GIO;
121;;CO2 Kg2;;;6;;;;;;APPIA NUOVA 433;;;INDISPONIBILI;05/07/2021;RI;
122;AIR;CO2 Kg2;;;6;;;;;;IPPOCRATE 23;;;INDISPONIBILI;13/12/2021;RI;
123;;CO2 Kg2;;;6;;;;;;;;;INDISPONIBILI;02/02/2022;RI;
124;AIR;CO2 Kg2;;;6;;;;;;GARIBALDI 55A;;;INDISPONIBILI;18/10/2022;;
125;;CO2 Kg2;;;6;;;11;17;;CONTEA & PARTNERS SRL;;;INDISPONIBILI;03/11/2022;S;
126;;CO2 Kg2;;;6;;;12;17;;TRISSINO 8 SC.B;;;INDISPONIBILI;15/06/2022;RI;
127;;CO2 Kg2;;;6;;;;;;;;;INDISPONIBILI;04/10/2022;GIO;
128;SOPRAN;CO2 Kg2;;;6;;;9;18;;ENEA 23;;;INDISPONIBILI;31/08/2022;S;
129;AIR;CO2 Kg2;;;6;;;11;17;;EDIFICIO 3;;;INDISPONIBILI;11/11/2022;S;REV AIR 5/13:Depressurizzato dopo 6 mesi
130;;CO2 Kg2;;;6;;;9;17;;;;;INDISPONIBILI;04/10/2022;GIO;
131;SIRE;CO2 Kg2;;;6;;;;;;MOTOR MIND;;;INDISPONIBILI;20/02/2019;;
132;SIRE;CO2 Kg2;;;6;;;11;16;;MARCHESINI 20;;;INDISPONIBILI;23/11/2021;RI;
133;AIR;CO2 Kg2;;;6;;;;;;PICCAGLI 3;;;INDISPONIBILI;20/02/2019;;
134;;CO2 Kg2;;;6;;;;;;CIVICO 23;;;INDISPONIBILI;30/10/2017;;
135;;CO2 Kg2;;;6;;;;;;;;;INDISPONIBILI;04/10/2022;GIO;
136;AIR;CO2 Kg2;;;6;;;;;;VALLE BORBERA 24;;;INDISPONIBILI;07/09/2022;RI;
137;AIR;CO2 Kg2;;;6;;;;;;EDIFICIO 3;;;INDISPONIBILI;22/11/2017;;
138;;CO2 Kg2;;;6;;;;;;RUSPOLI 40;;;INDISPONIBILI;09/12/2022;S;
139;AIR;CO2 Kg2;;;6;;;;;;;;;INDISPONIBILI;02/01/2018;;
140;;CO2 Kg2;;;6;;;11;17;;OFFICINA DI ALESSANDRO HASHEM ;;;INDISPONIBILI;09/11/2022;S;
141;;CO2 Kg2;;;6;;;;;;REZZATO 128;;;INDISPONIBILI;09/05/2018;;
142;;CO2 Kg2;;;6;;;7;17;;;;;INDISPONIBILI;04/10/2022;GIO;
143;;CO2 Kg2;;;6;;;;;;BIOLCHINI 7;;;INDISPONIBILI;14/10/2022;S;
144;;CO2 Kg2;;;6;;;;;;BONDI 41;;;INDISPONIBILI;28/06/2019;G;
145;;CO2 Kg2;;;6;;;;;;;;;INDISPONIBILI;04/10/2022;GIO;
146;;CO2 Kg2;;;6;;;;;;GOZZADINI 72;;;INDISPONIBILI;28/09/2022;S;
147;CSQ;CO2 Kg2;;;6;;;;;;PALLAVICINI 47;;;INDISPONIBILI;04/10/2022;GIO;
148;CSQ;CO2 Kg2;;;6;;;;;;LA PINETINA PAL N;;;INDISPONIBILI;08/03/2021;RI;C+R COM 6/23
149;CSQ;CO2 Kg2;;;6;;;;;;;;;INDISPONIBILI;15/03/2021;RI;R+V COM 6/23
150;;CO2 Kg2;;;6;;;;;;AMMIRAGLI 119 - 121;;;INDISPONIBILI;20/04/2023;A;R+V COM 6/23
151;;CO2 Kg2;;;7;;;;;;ANTONIO GRAMSCI 81;;;INDISPONIBILI;03/08/2023;A;
152;;CO2 Kg2;;;7;;;;;;MASSINI 80;;;INDISPONIBILI;15/06/2023;S;C+R COM 6/23
153;;CO2 Kg2;;;7;;;;;;MASSINI 80;;;INDISPONIBILI;15/06/2023;S;R+V COM 6/23
154;;CO2 Kg2;;;7;;;;;;MASSINI 80;;;INDISPONIBILI;15/06/2023;S;R+V COM 6/23
155;;CO2 Kg2;;;7;;;;;;MASSINI 80;;;INDISPONIBILI;15/06/2023;S;
156;;CO2 Kg2;;;7;;;;;;MASSINI 80;;;INDISPONIBILI;15/06/2023;S;
157;;CO2 Kg2;;;7;;;;;;MASSINI 80;;;INDISPONIBILI;15/06/2023;S;
158;;CO2 Kg2;;;7;;;;;;MASSINI 80;;;INDISPONIBILI;15/06/2023;S;
159;;CO2 Kg2;;;7;;;;;;MASSINI 80;;;INDISPONIBILI;15/06/2023;S;
160;;CO2 Kg2;;;6;;;;;;VERMICINO 4;;;INDISPONIBILI;23/06/2023;S;
161;;CO2 Kg2;;;6;;;;;;CORNELIA 128/D;;;INDISPONIBILI;09/06/2023;S;
162;CSQ;CO2 Kg5;;;6;;;;;;;;;INDISPONIBILI;18/05/2021;RI;R+V COM 5/23
163;CSQ;CO2 Kg5;;;6;;;1;17;;DAL POZZO 5/9;;;INDISPONIBILI;14/10/2022;S;
164;;CO2 Kg5;;;6;;;7;18;;MEUCI 23;;;INDISPONIBILI;05/06/2023;S;
165;;CO2 Kg5;;;6;;;7;18;;MEUCI 23;;;INDISPONIBILI;05/06/2023;S;
166;CSQ;CO2 Kg5;;;6;;;;;;PIAZZA DELLE IRIS 26;;;INDISPONIBILI;21/07/2020;RI;
167;CSQ;CO2 Kg5;;;6;;;;;;PIERO CORTI 59-63;;;INDISPONIBILI;06/04/2022;RI;
168;EMME;CO2 Kg5;;;6;;;9;23;R;PIERO CORTI 59-63;LE MAGNOLIE 3;4;TO COM OTT 23;17/08/2023;A;
169;;CO2 Kg5;;;6;;;9;23;R;DIVISIONE TORINO 60;LE MAGNOLIE 3;4;TO COM OTT 23;17/08/2023;A;
170;;EP12CE;;;6;;;;;;BANCHI VECCHI 25;;;INDISPONIBILI;20/04/2023;S;
171;CSQ;EP1CE;;;6;;;;;;;;;INDISPONIBILI;12/02/2021;RI;
172;;EP2CE;;;6;;;7;19;;STUDIO TARABORRELLI;;;INDISPONIBILI;11/08/2022;G;
173;;EP2CE;;;6;;;;;;STUDIO MILA SRL;;;INDISPONIBILI;11/08/2022;G;
174;GIBI;EP6CE;;;6;6;20;9;23;R+V;TRASTEVERE 166/172;VIGNA PIA 121;20;TO COM OTT 23;17/08/2023;A;"REV + COLL CSA 4/18: Depressurizzato dopo 19 mesi
REV + COLL CSQ 6/20: Depressurizzato dopo 5 Mesi
R+V COM 9/23"
175;RACK;EP6CE;;;6;7;20;9;23;R+V;ODERISI DA GUBBIO 198/200;GARIBALDI 55A;43;TO COM OTT 23;17/08/2023;A;R+V COM 9/23
176;;EP6CE;;;6;7;20;9;23;R+V;TRASTEVERE 166/172;GARIBALDI 55A;43;TO COM OTT 23;17/08/2023;A;R+V COM 9/23
177;CSQ;EP6CE;;;6;9;23;9;23;C+R;GBG ASSICURAZIONI;SANZENO 20;64;TO COM OTT 23;17/08/2023;A;C+R COM 9/23
178;;EP6CE;;;6;7;20;9;23;R+V;FLORA 19;A.M. QUERINI 9;52;TO COM OTT 23;17/08/2023;A;"REV CSQ 7/20: Depressurizzato alla consegna.
R+V COM 9/23"
179;MB;EP6CE;;;6;9;23;9;23;C+R;FLORA 19;LE MAGNOLIE 3;4;TO COM OTT 23;17/08/2023;A;C+R COM 9/23
180;MM;EP6CE;;;6;9;23;9;23;C+R;FLORA 19;LE MAGNOLIE 3;4;TO COM OTT 23;17/08/2023;A;C+R COM 9/23
181;CSQ;EP6CE;;;6;6;20;9;23;R+V;FLORA 19;VIGNA PIA 121;20;TO COM OTT 23;17/08/2023;A;R+V COM 9/23
182;;EP6CE;;;6;7;20;9;23;R+V;TRASTEVERE 166/172;NISIO 53;63;TO COM OTT 23;17/08/2023;A;R+V COM 9/23
183;RACK;EP6CE;;;6;7;20;7;20;;CAPESTRANO 31 SCALA B;;;INDISPONIBILI;31/05/2023;S;
184;;EP6CE;;;6;7;20;7;20;;CAPESTRANO 31 SCALA B;;;INDISPONIBILI;31/05/2023;S;
185;STAR;EP6CE;;;6;7;20;7;20;;CAPESTRANO 31 SCALA B;;;INDISPONIBILI;31/05/2023;S;
