ItemCode;ItemProviderCode;Description;CreationDate;IsActive;FILTRO PER TIPO;COLLAUDO         MESE     ANNO;;REVISIONE MESE   ANNO;;Intervento Richiesto;Provenienza;Destinazione;prog. Scheda;StateId;DataUltima Movimentazione;OperatoreUltimoMovimento;NOTE O PROBLEMI
1385;;EP6CE;;;6;3;23;3;23;;ODERISI DA GUBBIO 198/200;DE BLASI 26;;USO;07/04/2023;S;VALV COM 3/23
1386;AIR;EP6CE;;;6;;;6;22;;RUSPOLI 64;DE MICHELI 52;;USO;04/07/2022;RI;
1387;AIR;EP6CE;;;6;;;6;19;;POLEUR;BONDI 41;;USO;28/06/2019;GIO;
1388;;EP6CE;;;6;;;6;22;;BONDI 41;ODERISI DA GUBBIO 198/200;;USO;05/07/2022;RI;
1389;AIR;EP6CE;;;6;;;7;19;;EDIFICIO 3;PIAVE 2;;USO;11/07/2019;;
1390;;EP6CE;;;6;;;7;19;;EDIFICIO 3;VITTORINI 82;;USO;10/07/2019;;
1391;A;EP6CE;;;6;;;3;21;;RISERVE;POLLENZA 48/50;;USO;15/04/2021;RI;REV CSQ 9/19: Depressurizzato dopo 1 anno e 3 mesi
1392;;EP6CE;;;6;;;7;19;;EDIFICIO 3;VITTORINI 82;;USO;10/07/2019;I;
1393;AIR;EP6CE;;;6;;;9;20;;TARTANE 74;DE CAROLIS 90;;USO;02/10/2020;RI;
1394;AIR;EP6CE;;;6;;;9;20;;RISERVA;VALPADANA 43;;USO;13/11/2020;RI;
1395;PIM;EP6CE;;;6;;;9;20;;ENEA 58;;;USO;28/09/2020;S;
1396;CSQ;EP6CE;;;6;;;12;12;;JONIO 111;CITTA' DI CASCIA 31;;USO;14/12/2022;S;
1397;CSQ;EP6CE;;;6;;;12;21;;RISERVA;BERTOSSI 25-27;;USO;28/01/2022;RI;"REV CSQ 11/19: Depressurizzato dopo 2 anni
"
1398;CSQ;EP6CE;;;6;;;11;19;;CADLOLO 140;STUCCHI 8;;USO;18/11/2019;G;
1399;;EP6CE;;;6;1;20;2;23;;MERULANA 215;MANCINI 8;;USO;06/03/2023;S;
1400;AIR;EP6CE;;;6;;;7;22;;EDIFICIO 3;ROCCAPORENA 8/20;;USO;26/09/2022;S;
1401;AIR;EP6CE;;;6;;;7;22;;DE MICHELI 52;ROCCAPORENA 8/20;;USO;26/09/2022;S;
1402;AIR;EP6CE;;;6;;;9;22;;ENEA 58;CAPPELLI 18;;USO;20/10/2022;S;
1403;;EP6CE;;;6;3;23;3;23;;STUDIO RAVEGNANI;DE BLASI 26;;USO;07/04/2023;S;VALV COM 3/23
1404;AIR;EP6CE;;;6;;;6;21;;RISERVA;FLAMINIA 727;;USO;13/07/2021;RI;
1405;;EP6CE;;;6;;;12;22;;COMET GEN 23;TO COM 1 - BACK;;USO;06/02/2023;G;RESI A COMET 6 FEB3
1406;CSQ;EP6CE;;;6;;;12;12;;CONTEA & PARTNERS SRL;CITTA' DI CASCIA 31;;USO;14/12/2022;S;
1407;AIR;EP6CE;;;6;;;12;12;;STUCCHI 8;MEDA 11;;USO;20/12/2022;S;
1408;CSQ;EP6CE;;;6;;;9;20;;TARTANE 75;CONCA D'ORO 221;;USO;06/10/2020;RI;
1409;CSQ;EP6CE;;;6;;;7;20;;VAL PADANA 43;DE ROSSI 30/34;;USO;13/08/2020;RI;
1410;;EP6CE;;;6;4;23;4;23;;DE BLASI 26;EDIFICIO 3;;USO;10/05/2023;S;C+R COM 4/23
1411;STAR;EP6CE;;;6;2;23;2;23;;MARVELLI 6 ED.1;COLONNA PROSPERO 37;;USO;07/03/2023;S;
1412;;EP6CE;;;6;3;23;3;23;;BLOCCO GARAGE;DE BLASI 26;;USO;07/04/2023;S;VALV COM 3/23
1413;STAR;EP6CE;;;6;3;23;3;23;;BLOCCO GARAGE;MONTI PARIOLI 43;;USO;20/03/2023;S;VALV COM 3/23
1414;;EP6CE;;;6;3;23;3;23;;PROSPERO CLONNA 37;DE BLASI 26;;USO;07/04/2023;S;VALV COM 3/23
1415;;EP6CE;;;6;3;23;3;23;;GIANNETTO VALLI 9;EDIFICIO 3;;USO;10/05/2023;S;R+V COM 4/23
1416;;EP6CE;;;6;4;23;4;23;;DE BLASI 26;EDIFICIO 3;;USO;10/05/2023;S;C+R COM 4/23
1417;;EP6CE;;;6;4;23;4;23;;PROSPERO CLONNA 37;VILLA PAMPHILI 59;;USO;21/04/2023;S;VALV COM 4/23
1418;;EP6CE;;;6;4;23;4;23;;TROIANI 7;VILLA PAMPHILI 59;;USO;21/04/2023;S;VALV COM 4/23
1419;;EP6CE;;;6; ;;9;22;;DE MICHELI 52;CAPPELLI 18;;USO;20/10/2022;S;
1420;;EP6CE;;;6;;;7;22;;UNIA 4;CASSIA 486;;USO;03/10/2022;S;
1421;;EP6CE;;;6;;;12;22;;COMET GEN 23;TO COM 1 - BACK;;USO;06/02/2023;G;RESI A COMET 6 FEB3
1422;AIR;EP6CE;;;6;3;23;3;23;;TARTANE 75;MONTI PARIOLI 43;;USO;20/03/2023;S;VALV COM 3/23
1423;AIR;EP6CE;;;6;;;9;20;;TARTANE 75;CONCA D'ORO 221;;USO;06/10/2020;RI;
1424;AIR;EP6CE;;;6; ;;7;22;;DE MICHELI 52;CASSIA 486;;USO;03/10/2022;S;
1425;AIR;EP6CE;;;6; ;;7;22;;DE MICHELI 52;CASSIA 486;;USO;03/10/2022;S;
1426;AIR;EP6CE;;;6;12;22;12;22;;CITTA' DI CASCIA;ODERISI DA GUBBIO 198/200;;USO;13/02/2023;S;
1427;;EP6CE;;;6; ;;7;22;;NEMEA 7;CASSIA 486;;USO;03/10/2022;S;
1428;SIRE;EP6CE;;;6; ;;7;22;;DE MICHELI 52;CASSIA 486;;USO;03/10/2022;S;
1429;CSQ;EP6CE;;;6;;;12;12;;ELIOS;VIGEVANO 2 BIS;;USO;20/12/2022;S;
1430;;EP6CE;;;6;;;6;22;;ROCCATAGLIATA 4;STUDIO COMMERCIALISTA PICCHI;;USO;29/07/2022;RI;
1431;;EP6CE;;;6;;;6;22;;ROCCATAGLIATA 4;TEHERAN 15;;USO;12/07/2022;RI;
1432;UNIV;EP6CE;;;6;;;9 ;21;;ORIOLO ROMANO 47;BIOLCHINI 7;;USO;01/10/2021;RI;
1433;UNIV;EP6CE;;;6;;;9 ;21;;ORIOLO ROMANO 47;BIOLCHINI 7;;USO;01/10/2021;RI;
1434;UNIV;EP6CE;;;6;;;9;21;;RISERVE;ORIOLO ROMANO 47;;USO;10/09/2021;RI;REV CSQ 12/20: Depressurizzato dopo 6 mesi
1435;;EP6CE;;;6;12;22;12;22;;ELIOS;JORINI 7;;USO;13/02/2023;S;
1436;GIBI;EP6CE;;;6;;;12;20;;CAROLIS 90;POMPEO NERI 6/10;;USO;13/11/2021;RI;
1437;NT 2000;EP6CE;;;6;;;9 ;21;;ORIOLO ROMANO 47;BIOLCHINI 7;;USO;01/10/2021;RI;
1438;;EP6CE;;;6;4;23;4;23;;VILLA ALESSANDRA;MAURI 4;;USO;18/04/2023;S;VALV COM 4/23
1439;ABS;EP6CE;;;6;2;23;2;23;;CITTA' DI CASCIA;COLONNA PROSPERO 37;;USO;07/03/2023;S;
1440;;EP6CE;;;6;;;11;20;;TOR PAGNOTTA 302;HAIR DRESSING;;USO;14/12/2020;GIO;
1441;;EP6CE;;;6;;;5;22;;NOCERA TERINESE 46-48;RUSPOLI 64;;USO;01/06/2022;RI;
1442;;EP6CE;;;6;;; 9 ;22;;CAPPELLI 18;TORTOLINI 38;;USO;18/05/2023;S;"P COM 5/23
REV  CSQ 9/22: Depressurizzato dopo 6 mesi."
1443;;EP6CE;;;6;;;5;22;;NOCERA TERINESE 46-48;RUSPOLI 64;;USO;01/06/2022;RI;
1444;ABS;EP6CE;;;6;;;11;20;;ACCADEMIA INFORMATICA;HAIR DRESSING;;USO;14/12/2020;GIO;
1445;ABS;EP6CE;;;6;5;20;4;23;;AUTORIMESSA RAPPINI 22;MANGONE 5;;USO;27/04/2023;S;
1446;;EP6CE;;;6;5;20;4;23;;COOP. VESSILLO;MANGONE 5;;USO;27/04/2023;S;
1447;CSQ;EP6CE;;;6;;;11;20;;;VIRGINIA 23;;USO;18/12/2020;RI;REV CSQ 2/18: Depressurizzato dopo 13 mesi.
1448;;EP6CE;;;6;1;18;2;21;;TARTANE 75;SOLAZZI 81;;USO;05/03/2021;RI;
1449;SIRE;EP6CE;;;6;;;1;18;;CATANIA 1;TARATANE 75;;USO;02/02/2018;;
1450;;EP6CE;;;6;;;9;20;;LUCCA 16;;;USO;28/09/2020;S;
1451;;EP6CE;;;6;;;2;21;;MEDAGLIE D'ORO 169;AMMIRAGLI 119 - 121;;USO;02/03/2021;RI;
1452;;EP6CE;;;6;;;4;23;;AURELIA ANTICA 354;PROVENZALE 68;;USO;19/04/2023;S;
1453;AIR;EP6CE;;;6;;;2;21;;MEDAGLIE D'ORO 169;AMMIRAGLI 119 - 121;;USO;02/03/2021;RI;
1454;;EP6CE;;;6;;;1;23;;CASSIA 486 ;BLOCCO GARAGE;;USO;15/02/2023;S;"Proveniente da Tecnotam con Revisione di AGO 22.
FATTA VERIFICA REVISONE NEGATIVA"
1455;;EP6CE;;;6;5;20;4;23;;MARONCELLI 15/LAURANTONI 64;EDIFICIO 3;;USO;10/05/2023;S;R+V COM 4/23
1456;GIBI;EP6CE;;;6;;;11;20;;ACCADEMIA INFORMATICA;CATANIA 1;;USO;17/12/2020;RI;
1457;AIR;EP6CE;;;6;;;5;23;;MARONCELLI 15/LAURANTONI 64;C.D.L.T. DE LA SALLE;;USO;15/05/2023;S;R COM 5/23
1458;RACK;EP6CE;;;6;;;5;23;;MARONCELLI 15/LAURANTONI 64;CATALANO UFFICIO;;USO;15/05/2023;S;R COM 5/23
1459;;EP6CE;;;6;;;9;21;;POGGOLI 4;ENEA 58;;USO;20/09/2021;RI;
1460;;EP6CE;;;6;;;4;23;;AURELIA ANTICA 354;SERRA 18;;USO;08/05/2023;S;R COM 4/23
1461;CSQ;EP6CE;;;6;;;5;23;;LEGA LOMBARDA 8;VILLA SEVERINI 56 - VALDAGNO 6;;USO;22/05/2023;S;R COM 5/23
1462;CSQ;EP6CE;;;6;;;2;21;;NEMEA 7;AMMIRAGLI 119 - 121;;USO;02/03/2021;RI;
1463;AIR;EP6CE;;;6;;;6;18;;CRUTO 18-46;VENEZIA GIULIA 26/B;;USO;26/06/2018;;
1464;CSQ;EP6CE;;;6;;;6;18;;CRUTO 18-46;VITTORINI 82;;USO;18/07/2018;;
1465;CSQ;EP6CE;;;6;;;6;21;;ELIOS;PICCAGLI 13;;USO;12/07/2021;RI;
1466;CSQ;EP6CE;;;6;;;4;21;;ARCA 26;CATALANO UFFICIO;;USO;11/05/2021;RI;
1467;;EP6CE;;;6;;;2;22;;DE MICHELI 52;MENGOTTI 44;;USO;18/03/2022;RI;
1468;;EP6CE;;;6;;;3;21;;LA FEDELISSIMA;MARONCELLI 15/LAURANTONI 64;;USO;06/04/2021;RI;
1469;;EP6CE;;;6;;;4;21;;LA FEDELISSIMA;ELIOS;;USO;14/05/2021;RI;
1470;RACK;EP6CE;;;6;;;6;21;;LA FEDELISSIMA;PICCAGLI 13;;USO;12/07/2021;RI;
1471;;EP6CE;;;6;;;9;21;;RISERVE;ORIOLO ROMANO 47;;USO;10/09/2021;RI;REV + COLL CSQ 6/21: Depressurizzato alla consegna
1472;;EP6CE;;;6;;;9 ;21;;ORIOLO ROMANO 47;BIOLCHINI 7;;USO;01/10/2021;RI;
1473;;EP6CE;;;6;;;6;22;;EDIFICIO 3;TEHERAN 15;;USO;12/07/2022;RI;
1474;;EP6CE;;;6;;;12;20;;;TARTANE 75;;USO;05/01/2021;GIO;
1475;UNIV;EP6CE;;;6;;;6;21;;SOLAZZI 81;FLAMINIA 727;;USO;13/07/2021;RI;
1476;UNIV;EP6CE;;;6;;;;;;ELIOS;OJETTI 392 PAL C;;USO;26/01/2018;;
1477;UNIV;EP6CE;;;6;;;10;20;;AUTORIMESSA RAPPINI 22;ANTONELLO DA MESSINA 22;;USO;04/11/2020;RI;
1478;UNIV;EP6CE;;;6;;;7;20;;TIBERINA 74-76;GIANICOLENSE 179;;USO;10/08/2020;RI;
1479;UNIV;EP6CE;;;6;;;10;20;;BELLONI 10;ANTONELLO DA MESSINA 22;;USO;04/11/2020;RI;
1480;UNIV;EP6CE;;;6;;;6;21;;SOLAZZI 81;NEMEA 7;;USO;10/08/2021;RI;
1481;UNIV;EP6CE;;;6;;;6;21;;SOLAZZI 81;TRASTEVERE 166/172;;USO;20/07/2021;RI;
1482;CSQ;EP6CE;;;6;;;11;20;;;CATANIA 1;;USO;17/12/2020;RI;
1483;CSQ;EP6CE;;;6;;;3;23;;PELLATI 60;MARONCELLI 15;;USO;06/04/2023;S;
1484;   ;EP6CE;;;6;;;3;23;;MANCINI 8;MARONCELLI 15;;USO;06/04/2023;S;
1485;;EP6CE;;;6;;;3;23;;MANCINI 8;MARONCELLI 15;;USO;06/04/2023;S;
1486;CSQ;EP6CE;;;6;;;3;23;;MANCINI 8;MARONCELLI 15;;USO;06/04/2023;S;
1487;CSQ;EP6CE;;;6;;;3;23;;MANCINI 8;COOP.VESSILLO;;USO;06/04/2023;S;
1488;CSQ;EP6CE;;;6;;;3;23;;MANCINI 8;AUTORIMESSA RAPPINI 22;;USO;06/04/2023;S;
1489;CSQ;EP6CE;;;6;;;3;23;;MANCINI 8;DE BLASI 26;;USO;07/04/2023;S;
1490;PII;EP6CE;;;6;;;9;21;;RISERVE;ORIOLO ROMANO 47;;USO;10/09/2021;RI;"REV CSQ 6/20: Depressurizzato dopo 5 mesi
REV CSQ 12/20: Depressurizzato dopo 6 mesi"
1491;PII;EP6CE;;;6;;;9;21;;LUNGOTEVERE INVENTORI 114;MENGOTTI 44;;USO;10/09/2021;RI;
1492;PII;EP6CE;;;6;;;6;22;;LUNGOTEVERE INVENTORI 114;GRANATIERI 3;;USO;23/08/2022;G;REV CSQ 7/20: Depressurizzato dopo 1 anno
1493;PII;EP6CE;;;6;;;11;20;;;FORTUNATO 19;;USO;14/12/2020;RI;
1494;PII;EP6CE;;;6;;;9;20;;POLEUR;RAPPINI 22;;USO;30/09/2020;RI;
1495;PII;EP6CE;;;6;;;9;20;;FORTUNATO 19;RAPPINI 22;;USO;30/09/2020;RI;
1496;PII;EP6CE;;;6;;;3;22;;DE MICHELI 52;SANTA BIBBIANA;;USO;14/04/2022;RI;
1497;PII;EP6CE;;;6;;;2;21;;CARDINALI 21;AMMIRAGLI 119 - 121;;USO;03/03/2021;RI;
1498;PII;EP6CE;;;6;;;10;20;;BIOLCHINI 7;CATALANO UFFICIO;;USO;10/11/2020;GIO;
1499;PII;EP6CE;;;6;;;3;22;;DE MICHELI 52;SANTA BIBBIANA;;USO;14/04/2022;RI;
1500;PII;EP6CE;;;6;;;2;21;;FORTUNATO 19;AMMIRAGLI 119 - 121;;USO;03/03/2021;RI;
1501;PII;EP6CE;;;6;;;3;22;;DE MICHELI 52;SANTA BIBBIANA;;USO;14/04/2022;RI;
1502;CSQ;EP6CE;;;6;;;;;;VENEZIA GIULIA 26/B;OJETTI 392 PAL A/B;;USO;26/01/2018;F;
1503;CSQ;EP6CE;;;6;;;2;21;;FORTUNATO 19;AMMIRAGLI 119 - 121;;USO;03/03/2021;RI;
1504;CSQ;EP6CE;;;6;;;9;20;;CATANIA 1;MARONCELLI 15/LAURANTONI 64;;USO;01/10/2020;RI;
1505;CSQ;EP6CE;;;6;;;5;23;;MAURI 4;TIBERINA 74-76;;USO;22/05/2023;S;R COM 5/23
1506;CSQ;EP6CE;;;6;;;2;21;;CARDINALI 21;LUXURY HOUSE;;USO;02/04/2021;RI;
1507;CSQ;EP6CE;;;6;;;2;21;;CATANIA 1;SOLAZZI 81;;USO;05/03/2021;RI;
1508;CSQ;EP6CE;;;6;;;3;22;;DE MICHELI 52;VASI 18;;USO;06/04/2022;RI;
1509;CSQ;EP6CE;;;6;;;10;20;;;CATALANO UFFICIO;;USO;10/11/2020;GIO;REV CSQ 2/18: Depressurizzato dopo 13 mesi.
1510;CSQ;EP6CE;;;6;;;6;21;;LUXURY HOUSE;MEDAGLIE D'ORO 169;;USO;14/07/2021;RI;
1511;CSQ;EP6CE;;;6;;;9;20;;CATANIA 1;MARONCELLI 15/LAURANTONI 64;;USO;01/10/2020;RI;
1512;CSQ;EP6CE;;;6;;;2;21;;HAIR DRESSING;SOLAZZI 81;;USO;05/03/2021;RI;
1513;CSQ;EP6CE;;;6;;;9;20;;LUNGOTEVERE INVENTORI 114;BIOLCHINI 7;;USO;01/10/2020;RI;
1514;CSQ;EP6CE;;;6;;;9;20;;RISERVA;ACCADEMIA INFORMATICA;;USO;03/11/2020;RI;
1515;;EP6CE;;;6;;;10;20;;LUNGOTEVERE INVENTORI 114;POLEUR;;USO;17/11/2020;RI;
1516;;EP6CE;;;6;;;10;20;;LUNGOTEVERE INVENTORI 114;POLEUR;;USO;17/11/2020;RI;
1517;CSQ;EP6CE;;;6;;;6;21;;;MEDAGLIE D'ORO 169;;USO;14/07/2021;RI;
1518;CSQ;EP6CE;;;6;;;6;22;;EDIFICIO 2;GRANATIERI 3;;USO;23/08/2022;G;
1519;CSQ;EP6CE;;;6;;;6;22;;EDIFICIO 3;TEHERAN 15;;USO;12/07/2022;RI;
1520;CSQ;EP6CE;;;6;;;1;23;;CITTA' DI CASCIA;BLOCCO GARAGE;;USO;15/02/2023;S;
1521;SCARD.;EP6CE;;;6;;;4;23;;CELLAMARE 6;LEGA LOMBARDA 8;;USO;14/04/2023;S;
1522;CSQ;EP6CE;;;6;;;12;20;;CATALANO UFFICIO;VETRALLA 16;;USO;11/01/2021;RI;
1523;;EP6CE;;;6;;;;;;ELIOS;OJETTI 392 PAL A/B;;USO;26/01/2018;;
1524;CSQ;EP6CE;;;6;;;12;20;;CATALANO UFFICIO;PICCAGLI 13;;USO;11/01/2021;RI;
1525;;MAN UNI 45 MT 20;;;6;9;23;;;C;AMMIRAGLI 119-121;RESEDIL PIAZZA G.AMBROSINI 79-2-5-7;79;TO COM OTT 23;17/08/2023;A;C COM 9/23
1526;;EP6CE;;;6;;;9;22;;RISERVA;SANTA SECONDA 57 Pal. A;;USO;13/12/2022;S;
1527;FAS;EP6CE;;;6;;;10;20;;LUCCA 16;FLAMINIA 448;;USO;09/11/2020;GIO;
1528;;EP6CE;;;6;;;10;20;;LUCCA 16;SARTORIO 26;;USO;04/11/2020;RI;
1529;FAS;EP6CE;;;6;;;6;21;;FLAMINIA 727;BANCHI NUOVI 36;;USO;10/08/2021;RI;
1530;CSQ;EP6CE;;;6;;;3;19;;JONIO 111;REMIGIO;;USO;31/01/2020;;
1531;CSQ;EP6CE;;;6;;;3;21;;RISERVE;POLLENZA 48/50;;USO;15/04/2021;RI;REV CSQ 9/19: Depressurizzato dopo 1 anno e 3 mesi
1532;CSQ;EP6CE;;;6;;;10;20;;MARONCELLI 15/LAURANTONI 64;TOR PAGNOTTA 302;;USO;03/11/2020;RI;
1533;CSQ;EP6CE;;;6;;;5;22;;;C.D.L.T. DE LA SALLE;;USO;11/05/2022;RI;
1534;CSQ;EP6CE;;;6;;;9;19;;MARONCELLI LAURANTONI;THERAN ;;USO;05/02/2019;;
1535;;EP6CE;;;6;;;5;23;;MONTI PARIOLI 43;TIBERINA 74-76;;USO;22/05/2023;S;R COM 5/23
1536;UNI;EP6CE;;;6;;;12;20;;ELIOS;MEDAGLIE D'ORO 169;;USO;11/01/2021;RI;
1537;;EP6CE;;;6;;;5;23;;MONTI PARIOLI 43;POLEUR;;USO;24/05/2023;S;R COM 5/23
1538;CSQ;EP6CE;;;6;;;3;21;;FLAMINIA 727;VASI 18;;USO;19/04/2021;RI;
1539;CSQ;EP6CE;;;6;;;12;20;;POLEUR;GESU' 57;;USO;12/01/2021;RI;
1540;CSQ;EP6CE;;;6;;;3;21;;VIRGINIA 23;VASI 18;;USO;19/04/2021;RI;
1541;CSQ;EP6CE;;;6;;;7;20;;MARONCELLI 15/LAURANTONI 64;CATANIA 1;;USO;29/07/2020;RI;
1542;CSQ;EP6CE;;;6;;;12;20;;RISERVA;FLAMINIA727;;USO;13/11/2021;RI;
1543;;MAN UNI 45 MT 20;;;6;;;;;;AMMIRAGLI 119-121;;;INDISPONIBILI;16/03/2023;S;
1544;;MAN UNI 45 MT 20;;;6;;;;;;ARCA 26;;;INDISPONIBILI;17/04/2023;S;
1545;CSQ;EP6CE;;;6;;;3;21;;VIRGINIA 23;ARCA 26;;USO;12/04/2021;RI;
1546;CSQ;EP6CE;;;6;;;6;21;;ARCA 26;MISTRETTA 4;;USO;21/07/2021;RI;
1547;CSQ;EP6CE;;;6;;;5;19;;ARCA 26;POLEUR;;USO;03/06/2019;;
1548;CSQ;EP6CE;;;6;;;6;22;;;TEHERAN 15;;USO;12/07/2022;RI;
1549;CSQ;EP6CE;;;6;;;3;21;;ARCA 26;ARCA 26;;USO;12/04/2021;RI;
1550;CSQ;EP6CE;;;6;;;11;20;;ARCA 26;VIRGINIA 23;;USO;18/12/2020;RI;
1551;AIR;EP6CE;;;6;;;3;21;;ARCA 26;ARCA 26;;USO;12/04/2021;RI;
1552;CSQ;EP6CE;;;6;;;11;20;;ARCA 26;VIRGINIA 23;;USO;18/12/2020;RI;
1553;CSQ;EP6CE;;;6;;;12;20;;ARCA 26;GESU' 57;;USO;12/01/2021;RI;
1554;CSQ;EP6CE;;;6;;;12;20;;ARCA 26;TRASTEVERE 166/172;;USO;08/01/2021;RI;
1555;CSQ;EP6CE;;;6;;;2;21;;GESU' 57;LA VERDE PINETA;;USO;10/03/2021;RI;
1556;CSQ;EP6CE;;;6;;;3;21;;AMMIRAGLI 119 - 121;ARCA 26;;USO;12/04/2021;RI;
1557;CSQ;EP6CE;;;6;;;9;21;;RISERVE;ORIOLO ROMANO 47;;USO;10/09/2021;RI;REV CSQ 6/21: Depressurizzato dopo 1 mese
1558;CSQ;EP6CE;;;6;;;6;22;;ELIOS;TEHERAN 15;;USO;12/07/2022;RI;
1559;;EP6CE;;;6;;;12;22;;COMET GEN 23;MERVELLI 6 - EDIFICIO 1;;USO;25/01/2023;S;COMET GEN 23 - Cambio estintore con omologo A1
1560;AIR;EP6CE;;;6;;;6;22;;RUSPOLI 64;TEHERAN 15;;USO;12/07/2022;RI;
1561;AIR;EP6CE;;;6;;;11;19;;CAULONIA 12;TO COM 1 - BACK;;USO;06/02/2023;G;
1562;CSQ;EP6CE;;;6;;;6;21;;RISERVA;TO COM 1 - BACK;;USO;12/07/2021;RI;
1563;CSQ;EP6CE;;;6;;;6;21;;RISERVE;TO COM 1 - BACK;;USO;20/07/2021;RI;
1564;CSQ;EP6CE;;;6;;;6;21;;RISERVA;TO COM 1 - BACK;;USO;08/07/2021;RI;
1565;CSQ;EP6CE;;;6;;;1;19;;CRUTO 34;DE MICHELI 52;;USO;05/02/2019;;
1566;CSQ;EP6CE;;;6;;;3;22;;DE MICHELI 52;VIGNA PIA 32;;USO;11/04/2022;RI;
1567;;EP6CE;;;6;1;20;1;20;;MERULANA 215;TO COM 1 - BACK;;USO;06/02/2023;G;
1568;CSQ;EP6CE;;;6;;;9 ;21;;RISERVE;TO COM 1 - BACK;;USO;16/12/2021;RI;
1569;;EP6CE;;;6;;;5;23;;CASSIA 486;CATALANO UFFICIO S.R.L.;;USO;15/05/2023;S;R COM 5/23
1570;;EP6CE;;;6;;;3;23;;RIBOTTI 14;DE BLASI 26;;USO;07/04/2023;S;
1571;CSQ;EP6CE;;;6;;;9;21;;ELIOS;TO COM 1 - BACK;;USO;10/09/2021;RI;
1572;FAS;EP6CE;;;6;;;2;21;;TRASTEVERE 166/172;FEDELISSIMA;;USO;08/03/2021;RI;
1573;;MAN UNI 45 MT 20;;;6;9;23;;;C;MAGAZZINO;BOX CRUTO 18/46;22;TO COM OTT 23;17/08/2023;A;C COM 9/23
1574;;MAN UNI 45 MT 20;;;6;;;;;;CAPESTRANO 31 SCALA B;;;INDISPONIBILI;31/05/2023;S;
1575;SPA;EP6CE;;;6;;;9;21;;MORICHINI 32;MENGOTTI 44;;USO;10/09/2021;RI;
1576;;EP6CE;;;6;;;1;23;;CONCA D'ORO 221;BLOCCO GARAGE;;USO;15/02/2023;S;
1577;SIRE;EP6CE;;;6;;;9;20;;VENEZIA GIULIA 24;BELLONI 10;;USO;25/09/2020;S;
1578;;EP6CE;;;6;;;5;22;;NOCERA TERINESE 46-48;BONDI 41;;USO;06/06/2022;RI;
1579;CSQ;EP6CE;;;6;;;12;18;;ANGELO CRISPICIANI;ANGELO CRISPICIANI;;USO;26/03/2019;;
1580;CSQ;EP6CE;;;6;;;4;21;;ARCA 26;MOSSA DEI BARBERI 2B;;USO;12/05/2021;RI;
1581;ABS;EP6CE;;;6;;;2;22;;DE MICHELI 52;LA PINETINA PAL L;;USO;15/03/2022;RI;
1582;FAS;EP6CE;;;6;;;9 ;21;;AMMIRAGLI 119 - 121;COOP VESSILLO;;USO;01/10/2021;RI;
1583; ;EP6CE;;;6;;;9;20;;RISERVA;PAOLO RENZI 165;;USO;05/11/2020;RI;
1584;FAS;EP6CE;;;6;;;9;21;;DA PROCIDA 7 D;AMMIRAGLI 119 - 121;;USO;15/09/2021;RI;
1585;FAS;EP6CE;;;6;;;6;18;;DEL LUNGO 38;DA PROCIDA 7D;;USO;26/06/2018;;
1586;MB;EP6CE;;;6;;;2;22;;LUNGOTEVERE INVENTORI 114;LA PINETINA PAL L;;USO;15/03/2022;RI;
1587;M.B;EP6CE;;;6;;;10;18;;CONCA D'ORO 221;LUNGOTEVERE INVENTORI 114;;USO;18/12/2018;;
1588;CSQ;EP6CE;;;6;;;2;22;;ALBANO 80;LA PINETINA PAL L;;USO;15/03/2022;RI;
1589;;EP6CE;;;6;;;2;22;;DE MICHELI 52;LA PINETINA PAL L;;USO;15/03/2022;RI;
1590;CSQ;EP6CE;;;6;;;9 ;21;;AMMIRAGLI 119 - 121;MARONCELLI 15/LAURANTONI 64;;USO;01/10/2021;RI;
1591;CSQ;EP6CE;;;6;;;4;21;;ARCA 26;MOSSA DEI BARBERI 2B;;USO;12/05/2021;RI;
1592;MOBIAK;EP6CE;;;6;;;2;22;;ALBANO 80;LA PINETINA PAL L;;USO;15/03/2022;RI;
1593;CSQ;EP6CE;;;6;;;6;21;;VASI 18;RUSPOLI 64;;USO;15/06/2021;RI;
1594;CSQ;EP6CE;;;6;;;9;21;;DA PROCIDA 7 D;AMMIRAGLI 119 - 121;;USO;15/09/2021;RI;
1595;CSQ;EP6CE;;;6;;;6;18;;DEL LUNGO 38;DA PROCIDA 7D;;USO;26/06/2018;;
1596;CSQ;EP6CE;;;6;;;2;22;;ALBANO 80;LA PINETINA PAL M;;USO;15/03/2022;RI;
1597;MOBIAK;EP6CE;;;6;;;2;22;;ALBANO 80;LA PINETINA PAL M;;USO;15/03/2022;RI;
1598;CSQ;EP6CE;;;6;;;3;21;;AMMIRAGLI 119 - 121;CRESCENZIO 91;;USO;15/04/2021;RI;
1599;CSQ;EP6CE;;;6;;;12;21;;LUNGOTEVERE INVENTORI 114;DE MICHELI 52;;USO;04/01/2022;RI;
1600;MOBIAK;EP6CE;;;6;;;10;18;;CONCA D'ORO 221;LUNGOTEVERE INVENTORI 114;;USO;18/12/2018;;
1601;CSQ;EP6CE;;;6;;;4;21;;ARCA 26;D'OVIDIO 15/19;;USO;14/05/2021;RI;
1602;CSQ;EP6CE;;;6;;;2;22;;NEMEA 7;CAMPO BRUNO 46/C;;USO;28/02/2022;GIO;"REV CSQ 5/18: REV CSQ 9/19: Depressurizzato dopo 2 anni e 6 mesi.
REV CSQ 12/20: Depressurizzato dopo 1 anno"
